file,prompt_name,response_text
anuragraj03__PPE_Data_101_jpg.rf.b60b18aa7dd96c48a2c6eae771913c62,1_new_descriptive,"This indoor industrial facility features large overhead stainless steel vessels positioned above two rectangular Nutsche filter units on a blue floor. One worker wearing gloves, boots, and a face cover stands observing near the equipment, where wet, pooled liquid on the floor poses a potential slip hazard."
anuragraj03__PPE_Data_101_jpg.rf.b60b18aa7dd96c48a2c6eae771913c62,2_existing_structured,"{""person"": true, ""helmet"": false, ""gloves"": true, ""boots"": true, ""vest"": false, ""no-helmet"": true, ""no-gloves"": false, ""no-boots"": false, ""no-vest"": true}"
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,1_new_descriptive,"In an indoor industrial workshop setting, roughly five workers are present, with three actively handling steel beams and performing fabrication work on the floor while two others sit nearby. The manual handling of a tall steel beam without mechanical aid and the lack of welding protective screens pose potential safety hazards."
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": true, ""boots"": true, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
anuragraj03__frame00201_png.rf.aac99eb08f965b47bf3a4e6925999a27,1_new_descriptive,"This industrial facility security footage shows a group of approximately eight workers wearing hard hats gathered in a central workspace, appearing to hold a brief discussion or inspection near heavy equipment. All visible personnel demonstrate basic PPE compliance by wearing hard hats, though the dimly lit, dusty environment surrounded by machinery presents potential operational and tripping hazards."
anuragraj03__frame00201_png.rf.aac99eb08f965b47bf3a4e6925999a27,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": true, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
anuragraj03__frame00341_png.rf.245ece433cfcb149a31c1fcf649d5972,1_new_descriptive,"A group of about six or seven workers wearing hard hats is gathered together on an industrial facility floor next to metal tracks and machinery, appearing to confer. The surrounding area features concrete flooring, equipment frames, and a large standing fan on the right."
anuragraj03__frame00341_png.rf.245ece433cfcb149a31c1fcf649d5972,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": true, ""vest"": false, ""no-helmet"": false, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,1_new_descriptive,"This CCTV capture shows the first floor of an industrial denitration plant with extensive piping and process equipment, where one worker is walking barefoot next to his removed boots and a second person is partially visible on the far right holding paperwork. The scene highlights significant safety non-compliance, as personnel are operating in a chemical processing environment without required Personal Protective Equipment (PPE), including safety footwear and hard hats."
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,2_existing_structured,"{""person"": true, ""helmet"": false, ""gloves"": false, ""boots"": false, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": true, ""no-vest"": true}"
anuragraj03__goggle876594_jpg.rf.7cdb8fa8021a9d08762783629f1b6181,1_new_descriptive,"This indoor industrial packing facility shows at least three workers receiving white cylindrical gel packages from a conveyor belt and packing them into labeled cardboard boxes. While workers are equipped with protective gloves, the lack of visible eye protection or standardized headwear around moving machinery presents potential safety and compliance risks."
anuragraj03__goggle876594_jpg.rf.7cdb8fa8021a9d08762783629f1b6181,2_existing_structured,"{""person"": true, ""helmet"": false, ""gloves"": true, ""boots"": false, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
ketakichalke-boots__image163,1_new_descriptive,"One worker wearing a white hard hat and high-visibility vest stands outside a warehouse giving a thumbs-up in front of tall stacks of wooden pallets. He is compliant with standard personal protective equipment, with no immediate safety risks visible in the area."
ketakichalke-boots__image163,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": false, ""vest"": true, ""no-helmet"": false, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": false}"
ketakichalke-boots__image309,1_new_descriptive,"A crowd of approximately eight to ten workers wearing blue overalls and hard hats are gathered closely around a visitor in a green jacket who is holding a white safety helmet, with many using mobile phones to take photos. While hard hats are predominantly worn by the workforce, the severe congestion, lack of physical crowd control barriers, and distraction caused by mobile phone use present potential site safety and access risks."
ketakichalke-boots__image309,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": false, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
ketakichalke-boots__image904,1_new_descriptive,"A single worker wearing an orange hard hat, face mask, high-visibility safety vest, gloves, and boots stands facing the camera on an open tiled rooftop in an urban setting. The worker demonstrates proper compliance with basic personal protective equipment, though the low perimeter wall behind them presents a potential fall risk depending on active tasks near the edge."
ketakichalke-boots__image904,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": true, ""boots"": true, ""vest"": true, ""no-helmet"": false, ""no-gloves"": false, ""no-boots"": false, ""no-vest"": false}"
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,1_new_descriptive,"This composite photograph depicts health screening and personal protective equipment protocols across four panels, featuring three visible individuals wearing face masks, a face shield, and undergoing a health assessment. Compliance with health and safety measures appears high, as proper usage of protective gear minimizes health risks on site."
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,2_existing_structured,"{""person"": true, ""helmet"": false, ""gloves"": false, ""boots"": false, ""vest"": false, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
snehilsanyal-main__youtube-480_jpg.rf.faf443d4d10cc97074f6a80225f0ac29,1_new_descriptive,"This composite site record image features four separate views of an infrastructure project, showing an outdoor bridge area, chemical hazard warning signage, a roadside barrier, and a group of about six personnel standing together outdoors. The workers demonstrate good safety compliance by wearing hard hats and high-visibility vests, while the documented hazard labels indicate ongoing safety monitoring."
snehilsanyal-main__youtube-480_jpg.rf.faf443d4d10cc97074f6a80225f0ac29,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": false, ""vest"": true, ""no-helmet"": false, ""no-gloves"": false, ""no-boots"": false, ""no-vest"": false}"
snehilsanyal-main__youtube-695_jpg.rf.4c25a8537275a63e5c32e0f48e03ad7c,1_new_descriptive,"This composite construction record shows an active project site featuring heavy equipment, earthwork operations, and approximately five individuals including field workers and management personnel reviewing site information. High-visibility vests and hard hats demonstrate proper PPE compliance among active site personnel, though ground workers operating near moving heavy machinery present an ongoing safety risk requiring monitorable control measures."
snehilsanyal-main__youtube-695_jpg.rf.4c25a8537275a63e5c32e0f48e03ad7c,2_existing_structured,"{""person"": true, ""helmet"": true, ""gloves"": false, ""boots"": false, ""vest"": true, ""no-helmet"": true, ""no-gloves"": true, ""no-boots"": false, ""no-vest"": true}"
